MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive,MSZoning_mean,Neighborhood_mean,OverallCond_mean,BsmtCond_mean,FireplaceQu_mean,Electrical_mean,ExterQual_Gd_dummy0,ExterQual_TA_dummy1,ExterQual_Ex_dummy2,ExterQual_Fa_dummy3,FullBath_2_dummy0,FullBath_1_dummy1,FullBath_3_dummy2,FullBath_0_dummy3,KitchenQual_Gd_dummy0,KitchenQual_TA_dummy1,KitchenQual_Ex_dummy2,KitchenQual_Fa_dummy3,PavedDrive_Y_dummy0,PavedDrive_N_dummy1,PavedDrive_P_dummy2
RH,11622,Pave,NAmes,1961,6,TA,896,1,730.0,TA,,SBrkr,80.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
RL,14267,Pave,NAmes,1958,6,TA,1329,1,312.0,TA,,SBrkr,81.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,13830,Pave,Gilbert,1997,5,TA,1629,2,482.0,TA,TA,SBrkr,74.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,9978,Pave,Gilbert,1998,6,TA,1604,2,470.0,TA,Gd,SBrkr,78.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,5005,Pave,StoneBr,1992,5,Gd,1280,2,506.0,TA,,SBrkr,43.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
RL,10000,Pave,Gilbert,1993,5,TA,1655,2,440.0,TA,TA,SBrkr,75.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,7980,Pave,Gilbert,1992,7,TA,1187,2,420.0,TA,,SBrkr,,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,8402,Pave,Gilbert,1998,5,TA,1465,2,393.0,TA,Gd,SBrkr,63.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
RL,10176,Pave,Gilbert,1990,5,TA,1341,1,506.0,TA,Po,SBrkr,85.0,Gd,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
RL,8400,Pave,NAmes,1970,5,TA,882,1,525.0,TA,,SBrkr,70.0,TA,Y,131558.375,145847.08,153961.59126984127,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
