MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive,SalePrice,MSZoning_mean,Neighborhood_mean,OverallCond_mean,BsmtCond_mean,FireplaceQu_mean,Electrical_mean,ExterQual_Gd_dummy0,ExterQual_TA_dummy1,ExterQual_Ex_dummy2,ExterQual_Fa_dummy3,FullBath_2_dummy0,FullBath_1_dummy1,FullBath_3_dummy2,FullBath_0_dummy3,KitchenQual_Gd_dummy0,KitchenQual_TA_dummy1,KitchenQual_Ex_dummy2,KitchenQual_Fa_dummy3,PavedDrive_Y_dummy0,PavedDrive_N_dummy1,PavedDrive_P_dummy2,LotFrontage_imp
RL,8450,Pave,CollgCr,2003,5,Gd,1710,2,548,TA,NA,SBrkr,65.0,Gd,Y,208500,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,65.0
RL,9600,Pave,Veenker,1976,8,TA,1262,2,460,TA,TA,SBrkr,80.0,TA,Y,181500,191004.99478714162,238772.72727272726,155651.73611111112,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,80.0
RL,11250,Pave,CollgCr,2001,5,Gd,1786,2,608,TA,TA,SBrkr,68.0,Gd,Y,223500,191004.99478714162,197965.77333333335,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,68.0
RL,9550,Pave,Crawfor,1915,5,TA,1717,1,642,Gd,Gd,SBrkr,60.0,Gd,Y,140000,191004.99478714162,210624.72549019608,203146.91473812424,213599.9076923077,226351.41578947369,186825.1131934033,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,60.0
RL,14260,Pave,NoRidge,2000,5,Gd,2198,2,836,TA,TA,SBrkr,84.0,Gd,Y,250000,191004.99478714162,335295.31707317074,203146.91473812424,183632.6209000763,205723.48881789137,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,84.0
RL,14115,Pave,Mitchel,1993,5,TA,1362,1,480,TA,NA,SBrkr,85.0,TA,Y,143000,191004.99478714162,156270.1224489796,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,85.0
RL,10084,Pave,Somerst,2004,5,Gd,1694,2,636,TA,Gd,SBrkr,75.0,Gd,Y,307000,191004.99478714162,225379.83720930232,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,75.0
RL,10382,Pave,NWAmes,1973,6,TA,2090,2,484,TA,TA,SBrkr,,TA,Y,200000,191004.99478714162,189050.0684931507,153961.59126984127,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,60.5
RM,6120,Pave,OldTown,1931,5,TA,1774,2,468,TA,TA,FuseF,51.0,TA,Y,129900,126316.83027522935,128225.30088495575,203146.91473812424,183632.6209000763,205723.48881789137,107675.44444444444,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,51.0
RL,7420,Pave,BrkSide,1939,6,TA,1077,1,205,TA,TA,SBrkr,50.0,TA,Y,118000,191004.99478714162,124834.05172413793,153961.59126984127,183632.6209000763,205723.48881789137,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,50.0
RL,11200,Pave,Sawyer,1965,5,TA,1040,1,384,TA,NA,SBrkr,70.0,TA,Y,129500,191004.99478714162,136793.13513513515,203146.91473812424,183632.6209000763,141331.48260869566,186825.1131934033,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,70.0
RL,11924,Pave,NridgHt,2005,5,Ex,2324,3,736,TA,Gd,SBrkr,85.0,Ex,Y,345000,191004.99478714162,316270.6233766234,203146.91473812424,183632.6209000763,226351.41578947369,186825.1131934033,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,85.0
