SalePrice,MSZoning,LotArea,Street,Neighborhood,YearBuilt,OverallCond,ExterQual,GrLivArea,FullBath,GarageArea,BsmtCond,FireplaceQu,Electrical,LotFrontage,KitchenQual,PavedDrive
208500,RL,8450,Pave,CollgCr,2003,5,Gd,1710,2,548,TA,None,SBrkr,65.0,Gd,Y
181500,RL,9600,Pave,Veenker,1976,8,TA,1262,2,460,TA,TA,SBrkr,80.0,TA,Y
223500,RL,11250,Pave,CollgCr,2001,5,Gd,1786,2,608,TA,TA,SBrkr,68.0,Gd,Y
140000,RL,9550,Pave,Crawfor,1915,5,TA,1717,1,642,Gd,Gd,SBrkr,60.0,Gd,Y
250000,RL,14260,Pave,NoRidge,2000,5,Gd,2198,2,836,TA,TA,SBrkr,84.0,Gd,Y
143000,RL,14115,Pave,Mitchel,1993,5,TA,1362,1,480,TA,None,SBrkr,85.0,TA,Y
307000,RL,10084,Pave,Somerst,2004,5,Gd,1694,2,636,TA,Gd,SBrkr,75.0,Gd,Y
200000,RL,10382,Pave,NWAmes,1973,6,TA,2090,2,484,TA,TA,SBrkr,83.31688405797102,TA,Y
129900,RM,6120,Pave,OldTown,1931,5,TA,1774,2,468,TA,TA,FuseF,51.0,TA,Y
118000,RL,7420,Pave,BrkSide,1939,6,TA,1077,1,205,TA,TA,SBrkr,50.0,TA,Y
129500,RL,11200,Pave,Sawyer,1965,5,TA,1040,1,384,TA,None,SBrkr,70.0,TA,Y
345000,RL,11924,Pave,NridgHt,2005,5,Ex,2324,3,736,TA,Gd,SBrkr,85.0,Ex,Y
144000,RL,12968,Pave,Sawyer,1962,6,TA,912,1,352,TA,None,SBrkr,74.499898989899,TA,Y
279500,RL,10652,Pave,CollgCr,2006,5,Gd,1494,2,840,TA,Gd,SBrkr,91.0,Gd,Y
157000,RL,10920,Pave,NAmes,1960,5,TA,1253,1,352,TA,Fa,SBrkr,78.2657389686337,TA,Y
132000,RM,6120,Pave,BrkSide,1929,8,TA,854,1,576,TA,None,FuseA,51.0,TA,Y
149000,RL,11241,Pave,NAmes,1970,7,TA,1004,1,480,TA,TA,SBrkr,77.17266666666667,TA,Y
