,Survived,Pclass,Age,SibSp,Parch,Fare,Companions,Sex_male,Sex_female,Title_Mr,Title_Mrs,Title_Miss,Title_Master,Title_Rare Title,Embarked_S,Embarked_C,Embarked_Q,Embarked_
1,0,0,22.0,1,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0
2,1,2,38.0,1,0,71.2833,0,0,1,0,1,0,0,0,0,1,0,0
3,1,0,26.0,0,0,7.925,0,0,1,0,0,1,0,0,1,0,0,0
4,1,2,35.0,1,0,53.1,1,0,1,0,1,0,0,0,1,0,0,0
5,0,0,35.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
6,0,0,36.439118477921355,0,0,8.4583,0,1,0,1,0,0,0,0,0,0,1,0
7,0,2,54.0,0,0,51.8625,0,1,0,1,0,0,0,0,1,0,0,0
8,0,0,2.0,3,1,21.075,3,1,0,0,0,0,1,0,1,0,0,0
9,1,0,27.0,0,2,11.1333,2,0,1,0,1,0,0,0,1,0,0,0
10,1,1,14.0,1,0,30.0708,1,0,1,0,1,0,0,0,0,1,0,0
11,1,0,4.0,1,1,16.7,1,0,1,0,0,1,0,0,1,0,0,0
12,1,2,58.0,0,0,26.55,0,0,1,0,0,1,0,0,1,0,0,0
13,0,0,20.0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0
14,0,0,39.0,1,5,31.275,6,1,0,1,0,0,0,0,1,0,0,0
15,0,0,14.0,0,0,7.8542,0,0,1,0,0,1,0,0,1,0,0,0
16,1,1,55.0,0,0,16.0,0,0,1,0,1,0,0,0,1,0,0,0
17,0,0,2.0,4,1,29.125,4,1,0,0,0,0,1,0,0,0,1,0
18,1,1,36.092947011545114,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
19,0,0,31.0,1,0,18.0,0,0,1,0,1,0,0,0,1,0,0,0
20,1,0,29.141228802833812,0,0,7.225,0,0,1,0,1,0,0,0,0,1,0,0
21,0,1,35.0,0,0,26.0,1,1,0,1,0,0,0,0,1,0,0,0
22,1,1,34.0,0,0,13.0,0,1,0,1,0,0,0,0,1,0,0,0
23,1,0,15.0,0,0,8.0292,0,0,1,0,0,1,0,0,0,0,1,0
24,1,2,28.0,0,0,35.5,0,1,0,1,0,0,0,0,1,0,0,0
25,0,0,8.0,3,1,21.075,3,0,1,0,0,1,0,0,1,0,0,0
26,1,0,38.0,1,5,31.3875,3,0,1,0,1,0,0,0,1,0,0,0
27,0,0,31.18849169707783,0,0,7.225,0,1,0,1,0,0,0,0,0,1,0,0
28,0,2,19.0,3,2,100.2688,3,1,0,1,0,0,0,0,1,0,0,0
29,1,0,19.548214445669522,0,0,7.8792,0,0,1,0,0,1,0,0,0,0,1,0
