Orden,Palabra,Frecuencia
189,los,57
167,las,45
97,el,21
163,la,20
319,se,16
80,de,16
37,cada,14
63,con,12
0,a,12
100,en,11
109,eran,11
344,tenia,8
334,su,7
56,ciudad,7
336,sus,7
358,un,7
359,una,6
108,era,5
200,mas,5
184,llenaban,4
190,lumina,4
43,calles,4
91,dias,4
217,ninos,4
284,que,4
266,por,4
328,sol,3
81,decia,3
199,marta,3
10,aire,3
82,del,3
331,sonido,3
35,brillaban,3
264,poema,3
58,colores,3
307,ritmo,3
67,conversaciones,3
326,sin,3
281,puertas,2
325,silencio,2
70,corrian,2
144,historia,2
330,sonaban,2
146,historias,2
143,hacia,2
185,llevaba,2
73,creaba,2
107,entregaba,2
241,para,2
180,libros,2
166,largas,2
129,flores,2
321,secretos,2
85,despacio,2
244,parejas,2
147,hojas,2
90,dia,2
161,julian,2
95,domingos,2
312,rutina,2
302,repetia,2
3,abrian,2
317,saludaba,2
183,llenaba,2
7,adultos,2
46,caminaban,2
210,momento,2
364,vecinos,2
363,veces,2
29,belleza,2
205,mercado,2
221,noticias,2
228,olia,2
203,memoria,2
355,traia,2
38,cadencia,2
17,anotaba,2
372,voces,2
45,camila,2
8,afinaban,2
349,tocaban,2
375,y,2
187,lluvia,2
188,lo,2
60,compartian,2
373,volvian,2
216,musicos,2
237,palabras,2
367,ventanas,2
255,perros,1
220,nombres,1
256,persona,1
257,petalo,1
270,preguntaban,1
269,preguntaba,1
223,nuevas,1
258,pintores,1
259,plantaba,1
260,plantas,1
267,precios,1
262,poco,1
273,prestamos,1
263,pocoa,1
271,preparaba,1
222,nubes,1
265,poetas,1
272,preparaban,1
268,precision,1
219,noches,1
261,plazas,1
252,pequenos,1
224,nuevo,1
225,observaba,1
238,pan,1
236,palabra,1
235,pajaros,1
234,paja,1
275,primer,1
233,organizaban,1
240,paquetes,1
232,ordenaba,1
231,orden,1
230,olor,1
242,paraguas,1
229,olian,1
243,parecia,1
245,parques,1
246,parrafos,1
247,partian,1
248,pasaban,1
249,pasos,1
250,pausa,1
251,pedaleaba,1
227,ojos,1
239,panaderos,1
253,perfectomarta,1
226,ofertas,1
254,pero,1
274,primavera,1
9,agua,1
276,prisa,1
339,tardes,1
347,titulos,1
346,tierra,1
345,tiendas,1
343,tejian,1
342,tejados,1
341,teatro,1
340,te,1
338,tanto,1
350,todo,1
337,susurros,1
335,suave,1
333,sonrisa,1
332,sonreiacada,1
329,sombrero,1
327,sobres,1
324,seguridad,1
348,tocaba,1
351,tomaban,1
277,probaban,1
366,ventana,1
377,zapatos,1
376,zapateros,1
374,voz,1
371,vivolos,1
370,vivaen,1
369,viento,1
368,vida,1
365,vendedores,1
352,tomates,1
362,variaciones,1
361,variacion,1
360,unico,1
357,trenes,1
356,tranquilos,1
354,trabajos,1
353,trabajomientras,1
323,seguir,1
322,seguia,1
320,secas,1
288,recitaban,1
295,regateaban,1
294,regadera,1
293,refrescaba,1
292,reflejos,1
291,reflejaba,1
290,recorria,1
289,recordaba,1
287,recetas,1
2,abrazaban,1
286,rayo,1
285,ramas,1
283,puntualidad,1
282,pulian,1
280,puentes,1
279,proposito,1
278,propios,1
296,regresaba,1
297,regresaban,1
298,relojeros,1
299,relojes,1
318,sastres,1
316,saltaban,1
315,salian,1
314,salia,1
313,sabia,1
311,rostros,1
310,rociaba,1
309,ritos,1
308,rito,1
306,risas,1
305,rio,1
304,revisaba,1
303,reverdecian,1
301,repartidora,1
218,noche,1
300,repartia,1
194,maestros,1
215,musica,1
214,muros,1
84,descansoen,1
83,desayunaban,1
6,accion,1
79,cuero,1
78,cubria,1
77,cuadernos,1
76,cruzaban,1
75,crujian,1
74,creia,1
72,cortos,1
71,cortaba,1
69,corregian,1
68,corazones,1
66,conversaba,1
65,contaban,1
64,confiaba,1
62,comunidadcuando,1
86,despertaban,1
87,detalle,1
88,detalles,1
